"A1.S1.gz.subread.BAM"	"A2.S2.gz.subread.BAM"	"A3.S3.gz.subread.BAM"	"B1.S4.gz.subread.BAM"	"B2.S5.gz.subread.BAM"	"B3.S6.gz.subread.BAM"	"C1.S7.gz.subread.BAM"	"C2.S8.gz.subread.BAM"	"C3.S9.gz.subread.BAM"	"D1.S10.gz.subread.BAM"	"D2.S11.gz.subread.BAM"	"D3.S12.gz.subread.BAM"
"100287102"	6	12	5	6	6	4	1	5	3	2	5	2
"653635"	1073	805	693	753	661	491	908	525	658	472	791	465
"102466751"	35	27	15	24	19	12	35	17	13	9	23	1
"100302278"	0	0	0	0	0	0	0	0	0	0	0	0
"645520"	0	0	0	0	0	0	0	0	0	0	0	0
"79501"	0	0	0	0	0	0	0	0	0	0	0	0
"729737"	1409	1065	885	1076	984	700	1311	824	999	531	914	554
"102725121"	1	0	1	0	0	1	0	1	1	0	1	2
"102723897"	60	58	38	65	46	33	69	36	59	24	58	22
"102465909"	23	10	10	11	7	4	7	6	6	5	7	5
"729759"	0	0	0	0	1	0	0	1	0	0	0	0
"100132287"	288	216	187	341	326	229	423	253	298	164	307	168
"105378947"	2	1	1	1	2	2	3	0	5	2	0	0
"101928626"	0	0	0	1	0	0	0	0	0	0	0	0
"102465432"	4044	3288	3077	3974	4503	2646	4580	2887	3431	2434	3768	2750
"81399"	0	0	0	0	1	0	0	0	0	0	0	0
"100133331"	394	315	286	415	332	249	450	291	374	209	338	186
"100288069"	158	116	98	149	127	90	188	105	121	76	147	65
"400728"	5	5	2	10	5	5	6	1	9	3	6	2
"79854"	36	44	32	43	41	28	31	18	36	17	32	15
"643837"	692	557	439	799	727	487	817	555	633	509	855	492
"284593"	37	23	26	31	31	23	28	15	25	23	29	21
"100130417"	9	4	5	28	18	14	8	11	9	6	14	4
"148398"	27	20	17	32	26	30	20	18	13	15	25	18
"26155"	4187	3352	2741	4593	4143	3020	5732	3361	4255	3530	6122	3227
"339451"	973	712	566	948	794	665	1141	664	894	594	996	512
"84069"	353	268	217	367	306	262	467	243	318	241	437	225
"84808"	92	61	51	127	102	73	131	89	118	95	136	71
"57801"	170	145	93	265	231	179	310	187	222	254	381	161
"9636"	482	377	270	635	547	349	525	313	433	512	932	468
"375790"	16525	11791	10023	20093	15785	12999	23731	13493	17349	15337	26614	13182
"105369174"	51	30	24	62	49	34	54	35	48	33	64	36
"105378948"	27	16	13	19	27	20	23	15	19	16	22	9
"401934"	76	64	60	204	196	156	226	136	185	141	283	130
"54991"	874	629	602	939	779	562	1018	621	796	748	1113	585
"254099"	0	0	0	0	0	0	0	0	0	0	0	0
"406984"	5	2	3	7	9	0	8	3	8	2	5	2
"406983"	2	4	2	8	7	6	9	0	2	6	4	5
"554210"	6	2	5	19	11	8	15	4	14	10	17	5
"254173"	6	2	1	2	2	3	3	3	0	2	5	4
"8784"	875	568	523	437	299	302	437	234	340	279	495	245
"7293"	4	3	1	1	0	0	1	0	0	0	2	0
"51150"	4064	3005	2602	3979	3505	2630	4567	2858	3555	3388	5529	2993
